stage,net,loss<=-8,avg_loss,loss_factor,convert_mod,ratio_gate,take_profit,delta_from_prev
D0,-162.23,3,-5.29,1.0,0,0.0,1.2,61.51
D1,-127.58,2,-5.06,0.95,14,1.3,1.1,34.65
D2,-104.5,0,-4.81,0.9,12,1.32,1.2,23.08
D3,-78.77,0,-4.6,0.85,10,1.34,1.3,25.73
D4,-52.11,0,-4.38,0.8,8,1.36,1.4,26.66
D5,-37.98,0,-4.07,0.75,6,1.38,1.5,14.13
D6,18.47,0,-3.88,0.7,4,1.4,1.6,56.45
D7,30.13,0,-3.7,0.67,4,1.43,1.7,11.66
D8,42.07,0,-3.51,0.64,3,1.46,1.8,11.94
D9,52.07,0,-3.36,0.61,3,1.49,1.9,10.0
D10,63.91,0,-3.17,0.58,3,1.52,2.0,11.84
D11,74.04,0,-3.01,0.55,3,1.55,2.1,10.13
D12,84.17,0,-2.85,0.52,3,1.55,2.2,10.13
