S,D,coupling,net,loss8,avg_loss,score
6,8,1.0,42.07,0,-3.51,77.71
7,8,0.97,37.37,0,-3.54,73.14
8,8,0.94,32.72,0,-3.58,68.63
6,7,1.0,30.13,0,-3.7,66.53
5,8,0.97,34.75,1,-3.58,64.68
9,8,0.91,28.45,0,-3.6,64.45
7,7,0.97,25.79,0,-3.73,62.3
10,8,0.88,24.41,0,-3.62,60.51
8,7,0.94,21.5,0,-3.76,58.12
4,8,0.94,27.58,1,-3.65,57.77
11,8,0.85,20.7,0,-3.65,56.89
6,6,1.0,18.47,0,-3.88,55.59
9,7,0.91,17.59,0,-3.77,54.28
12,8,0.82,17.84,0,-3.65,54.04
5,7,0.97,23.17,1,-3.77,53.84
7,6,0.97,14.48,0,-3.9,51.69
3,8,0.91,20.56,1,-3.72,51.04
10,7,0.88,13.91,0,-3.79,50.67
8,6,0.94,10.54,0,-3.92,47.84
11,7,0.85,10.56,0,-3.81,47.39
4,7,0.94,16.36,1,-3.83,47.26
12,7,0.82,8.05,0,-3.81,44.87
9,6,0.91,6.98,0,-3.94,44.32
2,8,0.88,13.54,1,-3.78,44.28
5,6,0.97,11.86,1,-3.94,43.23
10,6,0.88,3.65,0,-3.95,41.04
3,7,0.91,9.7,1,-3.89,40.87
11,6,0.85,0.65,0,-3.96,38.09
1,8,0.85,6.52,1,-3.85,37.51
4,6,0.94,5.4,1,-3.99,36.98
12,6,0.82,-1.52,0,-3.95,35.9
2,7,0.88,3.04,1,-3.95,34.44
3,6,0.91,-0.91,1,-4.06,30.91
1,7,0.85,-3.62,1,-4.01,28.01
2,6,0.88,-7.22,1,-4.11,24.81
0,8,0.82,-0.49,2,-3.91,24.75
1,6,0.85,-13.53,1,-4.16,18.71
0,7,0.82,-10.28,2,-4.07,15.58
0,6,0.82,-19.85,2,-4.21,6.61
6,5,1.0,-37.98,0,-4.07,-0.1
7,5,0.97,-40.28,0,-4.09,-2.33
8,5,0.94,-42.53,0,-4.1,-4.51
9,5,0.91,-44.39,0,-4.11,-6.35
10,5,0.88,-46.03,0,-4.12,-7.96
11,5,0.85,-47.34,0,-4.12,-9.25
12,5,0.82,-47.8,0,-4.11,-9.77
5,5,0.97,-42.9,1,-4.13,-10.79
6,4,1.0,-52.11,0,-4.38,-12.99
7,4,0.97,-53.98,0,-4.39,-14.83
4,5,0.94,-47.67,1,-4.17,-15.37
8,4,0.94,-55.81,0,-4.39,-16.63
9,4,0.91,-57.25,0,-4.39,-18.08
10,4,0.88,-58.46,0,-4.39,-19.31
3,5,0.91,-52.28,1,-4.23,-19.76
11,4,0.85,-59.35,0,-4.39,-20.2
12,4,0.82,-59.39,0,-4.36,-20.34
5,4,0.97,-56.6,1,-4.43,-23.29
2,5,0.88,-56.9,1,-4.28,-24.19
4,4,0.94,-60.95,1,-4.46,-27.49
1,5,0.85,-61.52,1,-4.32,-28.63
3,4,0.91,-65.14,1,-4.51,-31.49
2,4,0.88,-69.33,1,-4.55,-35.54
6,3,1.0,-78.77,0,-4.6,-38.77
0,5,0.82,-66.14,2,-4.37,-39.06
1,4,0.85,-73.53,1,-4.59,-39.58
7,3,0.97,-79.84,0,-4.6,-39.84
8,3,0.94,-80.87,0,-4.6,-40.86
12,3,0.82,-81.25,0,-4.54,-41.48
9,3,0.91,-81.51,0,-4.59,-41.54
10,3,0.88,-81.93,0,-4.58,-41.99
11,3,0.85,-82.01,0,-4.57,-42.11
5,3,0.97,-82.46,1,-4.64,-48.3
0,4,0.82,-77.72,2,-4.62,-49.63
4,3,0.94,-86.01,1,-4.67,-51.72
3,3,0.91,-89.4,1,-4.71,-54.95
2,3,0.88,-92.8,1,-4.74,-58.22
1,3,0.85,-96.19,1,-4.77,-61.5
12,2,0.82,-102.35,0,-4.72,-61.89
11,2,0.85,-103.88,0,-4.75,-63.27
6,2,1.0,-104.5,0,-4.81,-63.66
10,2,0.88,-104.57,0,-4.77,-63.9
7,2,0.97,-104.8,0,-4.8,-63.98
9,2,0.91,-104.93,0,-4.78,-64.19
8,2,0.94,-105.05,0,-4.8,-64.26
0,3,0.82,-99.58,2,-4.8,-70.77
5,2,0.97,-107.42,1,-4.84,-72.44
4,2,0.94,-110.19,1,-4.87,-75.12
3,2,0.91,-112.82,1,-4.9,-77.6
12,1,0.82,-121.28,0,-4.92,-79.99
2,2,0.88,-115.44,1,-4.93,-80.13
11,1,0.85,-123.5,0,-4.96,-82.04
1,2,0.85,-118.06,1,-4.95,-82.65
10,1,0.88,-124.88,0,-4.99,-83.33
9,1,0.91,-125.93,1,-5.01,-90.29
8,1,0.94,-126.75,1,-5.03,-91.01
0,2,0.82,-120.68,2,-4.98,-91.18
7,1,0.97,-127.19,1,-5.05,-91.4
6,1,1.0,-127.58,2,-5.06,-97.74
5,1,0.97,-129.81,3,-5.09,-105.86
12,0,0.82,-149.69,0,-5.11,-107.65
4,1,0.94,-131.89,3,-5.1,-107.87
3,1,0.91,-133.82,3,-5.13,-109.7
11,0,0.85,-152.95,0,-5.16,-110.71
2,1,0.88,-135.75,3,-5.15,-111.56
10,0,0.88,-155.37,0,-5.19,-113.01
1,1,0.85,-137.68,3,-5.16,-113.42
0,1,0.82,-139.61,3,-5.18,-115.28
9,0,0.91,-157.46,2,-5.22,-126.98
8,0,0.94,-159.32,2,-5.25,-128.72
7,0,0.97,-160.8,2,-5.27,-130.12
6,0,1.0,-162.23,3,-5.29,-137.47
5,0,0.97,-163.42,4,-5.31,-144.58
4,0,0.94,-164.46,4,-5.32,-145.58
3,0,0.91,-165.35,4,-5.34,-146.39
2,0,0.88,-166.24,4,-5.35,-147.24
1,0,0.85,-167.13,4,-5.36,-148.09
0,0,0.82,-168.02,4,-5.37,-148.94
