S,base_cap,sp_k,sp_max,streak_k,streak_max,R_net_A,R_net_B,R_delta,R_loss8_A,R_loss8_B,R_avg_loss_A,R_avg_loss_B,X2214_net_A,X2214_net_B,X2214_delta,X2214_loss8_A,X2214_loss8_B,X2214_avg_loss_A,X2214_avg_loss_B,score,marginal
0,-9.9,1.2,2.0,0.3,1.2,-223.74,-168.02,55.72,4,4,-6.17,-5.37,-286.29,-286.29,0.0,2,2,-5.29,-5.29,39.0,39.0
1,-9.7,1.25,2.1,0.33,1.3,-223.74,-167.13,56.61,4,4,-6.17,-5.36,-286.29,-286.29,0.0,2,2,-5.29,-5.29,39.63,0.63
2,-9.5,1.3,2.2,0.36,1.4,-223.74,-166.24,57.5,4,4,-6.17,-5.35,-286.29,-286.29,0.0,2,2,-5.29,-5.29,40.25,0.62
3,-9.3,1.35,2.3,0.39,1.5,-223.74,-165.35,58.39,4,4,-6.17,-5.34,-286.29,-286.24,0.05,2,2,-5.29,-5.29,40.89,0.64
4,-9.1,1.4,2.4,0.42,1.6,-223.74,-164.46,59.28,4,4,-6.17,-5.32,-286.29,-285.91,0.38,2,2,-5.29,-5.28,41.61,0.72
5,-8.9,1.45,2.5,0.45,1.7,-223.74,-163.42,60.32,4,4,-6.17,-5.31,-286.29,-285.58,0.71,2,2,-5.29,-5.28,42.44,0.83
6,-8.7,1.5,2.6,0.48,1.8,-223.74,-162.23,61.51,4,3,-6.17,-5.29,-286.29,-284.85,1.44,2,2,-5.29,-5.27,43.49,1.05
7,-8.5,1.55,2.7,0.51,1.9,-223.74,-160.8,62.94,4,2,-6.17,-5.27,-286.29,-284.02,2.27,2,2,-5.29,-5.26,44.74,1.25
8,-8.3,1.6,2.8,0.54,2.0,-223.74,-159.32,64.42,4,2,-6.17,-5.25,-286.29,-282.71,3.58,2,2,-5.29,-5.24,46.17,1.43
9,-8.1,1.65,2.9,0.57,2.1,-223.74,-157.46,66.28,4,2,-6.17,-5.22,-286.29,-281.04,5.25,2,2,-5.29,-5.22,47.97,1.8
10,-7.9,1.7,3.0,0.6,2.2,-223.74,-155.37,68.37,4,0,-6.17,-5.19,-286.29,-278.98,7.31,2,0,-5.29,-5.19,50.05,2.08
11,-7.7,1.75,3.1,0.63,2.3,-223.74,-152.95,70.79,4,0,-6.17,-5.16,-286.29,-276.31,9.98,2,0,-5.29,-5.16,52.55,2.5
12,-7.5,1.8,3.2,0.66,2.4,-223.74,-149.69,74.05,4,0,-6.17,-5.11,-286.29,-272.63,13.66,2,0,-5.29,-5.11,55.93,3.38
